,Latitude,Longitude
0,29.45656,-94.64164
1,39.95804,-112.05833
2,34.05349,-118.24532
3,31.46273305,-99.33305009
4,30.21525,-97.68763
5,24.80773,-107.39446
6,43.64687,-79.40574
7,39.96199,-83.00275
8,32.77815,-96.7954
9,34.28082,-119.29232
10,39.74001,-104.99202
11,39.39870316,-99.41461919
12,35.61215,-77.38076
13,32.50983,-92.11879
14,36.17193,-115.14001
15,29.42458,-98.49461
16,40.43851,-79.99734
17,38.89037,-77.03196
18,35.8430027,-86.34305118
19,39.91980696,-86.28179349
20,28.5660449,-81.68864879
21,39.39870316,-99.41461919
22,41.88425,-87.63245
23,36.17193,-115.14001
24,34.05349,-118.24532
25,36.37410569,-119.27023
26,42.05702,-87.68645
27,32.34507,-90.14817
28,39.46147,-80.17064
29,40.93932,-123.63121
30,36.75528,-76.05962
31,33.023,-96.51488
32,39.39870316,-99.41461919
33,35.15673,-98.44252
34,41.48545,-75.85692
35,35.69168,-105.93796
36,34.05349,-118.24532
37,34.08518,-117.96029
38,40.43851,-79.99734
39,38.89037,-77.03196
40,39.39870316,-99.41461919
41,33.98171,-117.37404
42,36.70887,-119.55643
43,41.57350273,-72.73830591
44,35.53934434,-79.18541791
45,34.05349,-118.24532
46,36.67088,-121.65482
47,34.23294,-102.4102
48,47.60357,-122.32945
49,41.51169,-72.89911
50,39.39870316,-99.41461919
51,38.57944,-121.49085
52,37.77712,-122.41964
53,39.732,-121.84198
54,47.60357,-122.32945
55,44.12519983,-84.1966975
56,39.00105122,-74.80479336
57,45.51179,-122.67563
58,37.5407,-77.43365
59,42.4266,-71.07352
60,34.05349,-118.24532
61,33.80668,-117.98451
62,33.44825,-112.0758
63,41.88425,-87.63245
64,29.76058,-95.36968
65,46.78796,-92.09985
66,39.36287,-74.42637
67,44.64483337,-89.73918542
68,40.4130568,-82.71121519
69,41.16319758,-73.75606288
70,36.17193,-115.14001
71,41.88425,-87.63245
72,42.80336,-82.75075
73,46.34885577,-94.20079058
74,40.2337,-111.66889
75,29.76058,-95.36968
76,33.66757,-117.32786
77,36.37410569,-119.27023
78,39.39870316,-99.41461919
79,45.51179,-122.67563
80,33.76672,-118.1924
81,47.60357,-122.32945
82,34.05349,-118.24532
83,39.39870316,-99.41461919
84,40.66419,-73.70851
85,34.05349,-118.24532
86,31.46273305,-99.33305009
87,36.37410569,-119.27023
88,38.51469875,-122.9742829
89,29.76058,-95.36968
90,39.10344,-94.58311
91,38.52206,-77.29085
92,32.77815,-96.7954
93,42.90014,-78.49123
94,34.23294,-102.4102
95,45.51179,-122.67563
96,34.05349,-118.24532
97,38.51469875,-122.9742829
98,31.46273305,-99.33305009
99,45.51179,-122.67563
100,31.46273305,-99.33305009
101,28.01731,-82.12539
102,30.62054,-96.3259
103,34.15844,-89.63095
104,34.23294,-102.4102
105,36.37410569,-119.27023
106,42.60561,-83.92537
107,45.51179,-122.67563
108,40.07116,-80.74568
109,36.93602,-82.62314
110,29.42458,-98.49461
111,29.9537,-90.07775
112,36.37410569,-119.27023
113,38.62775,-90.19956
114,33.74831,-84.39111
115,25.67093,-100.30999
116,32.77815,-96.7954
117,40.25986,-76.88223
118,36.37410569,-119.27023
119,30.50904,-97.67722
120,35.94884,-77.79499
121,40.69787,-80.01199
122,39.39870316,-99.41461919
123,37.33865,-121.88542
124,28.5660449,-81.68864879
125,34.05349,-118.24532
126,28.38176,-81.5065
127,35.08423,-106.64905
128,28.5660449,-81.68864879
129,30.32416,-81.39607
130,39.39870316,-99.41461919
131,44.12519983,-84.1966975
132,34.05349,-118.24532
133,38.90477119,-77.01632175
134,39.29058,-76.60926
135,34.05349,-118.24532
136,36.37410569,-119.27023
137,37.5128205,-78.69794871
138,38.89037,-77.03196
139,39.39870316,-99.41461919
140,32.77815,-96.7954
141,45.60218,-73.5596
142,37.5128205,-78.69794871
143,33.15845,-86.23858
